source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_second,average_packet_size,unique_destination_ips,unique_destination_ports,tcp_syn_count,tcp_rst_count
10.21.149.160,224.0.0.251,5353.0,5353.0,UDP,5,563,2.059830904006958,2.427383718864289,273.3234067441189,112.6,1,1,0,0
10.21.149.251,10.21.149.160,63110.0,53.0,UDP,1,87,0.001,1000.0,87000.0,87.0,1,1,0,0
10.21.149.251,10.21.149.160,62900.0,53.0,UDP,1,87,0.001,1000.0,87000.0,87.0,1,1,0,0
10.21.149.251,10.21.149.160,50809.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.251,10.21.149.160,62572.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,62572.0,UDP,1,242,0.001,1000.0,242000.0,242.0,1,1,0,0
10.21.149.251,10.21.149.160,50275.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,50275.0,UDP,1,242,0.001,1000.0,242000.0,242.0,1,1,0,0
10.21.149.251,23.193.56.98,57028.0,443.0,TCP,19,9706,0.3787245750427246,50.16838423505149,25628.123020284725,510.8421052631579,1,1,1,0
10.21.149.160,10.21.149.251,53.0,62900.0,UDP,1,103,0.001,1000.0,103000.0,103.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,63110.0,UDP,1,112,0.001,1000.0,112000.0,112.0,1,1,0,0
10.21.149.251,142.251.223.2,58299.0,443.0,TCP,13,3646,0.26381731033325195,49.27652390807299,13820.169705294931,280.46153846153845,1,1,1,0
10.21.149.160,10.21.149.251,53.0,50809.0,UDP,1,265,0.001,1000.0,265000.0,265.0,1,1,0,0
23.193.56.98,10.21.149.251,443.0,57028.0,TCP,44,42599,0.3560054302215576,123.59362039117462,119658.28716008291,968.1590909090909,1,1,1,0
142.251.223.2,10.21.149.251,443.0,58299.0,TCP,18,7098,0.3276803493499756,54.93158206070907,21661.353859272942,394.3333333333333,1,1,1,0
10.21.149.251,10.21.149.160,60948.0,53.0,UDP,1,123,0.001,1000.0,123000.0,123.0,1,1,0,0
10.21.149.251,10.21.149.160,58865.0,53.0,UDP,1,123,0.001,1000.0,123000.0,123.0,1,1,0,0
10.21.149.251,10.21.149.160,56280.0,53.0,UDP,1,78,0.001,1000.0,78000.0,78.0,1,1,0,0
10.21.149.251,10.21.149.160,56315.0,53.0,UDP,1,78,0.001,1000.0,78000.0,78.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,58865.0,UDP,1,223,0.001,1000.0,223000.0,223.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,56315.0,UDP,1,178,0.001,1000.0,178000.0,178.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,56280.0,UDP,1,179,0.001,1000.0,179000.0,179.0,1,1,0,0
10.21.149.251,150.171.28.11,62946.0,443.0,TCP,25,11391,2.3826003074645996,10.492737670550916,4780.91099220982,455.64,1,1,1,0
10.21.149.160,10.21.149.251,53.0,60948.0,UDP,1,267,0.001,1000.0,267000.0,267.0,1,1,0,0
10.21.149.251,74.179.65.112,59587.0,443.0,TCP,12,5722,1.1582796573638916,10.36019231081947,4940.0850335424175,476.8333333333333,1,1,1,0
150.171.28.11,10.21.149.251,443.0,62946.0,TCP,33,15354,2.306997060775757,14.304309511735283,6655.405098278289,465.27272727272725,1,1,1,0
10.21.149.251,10.21.149.160,62057.0,53.0,UDP,1,74,0.001,1000.0,74000.0,74.0,1,1,0,0
10.21.149.251,10.21.149.160,51782.0,53.0,UDP,1,74,0.001,1000.0,74000.0,74.0,1,1,0,0
10.21.149.251,10.21.149.160,55017.0,53.0,UDP,1,76,0.001,1000.0,76000.0,76.0,1,1,0,0
10.21.149.251,10.21.149.160,57346.0,53.0,UDP,1,76,0.001,1000.0,76000.0,76.0,1,1,0,0
10.21.149.251,10.21.149.160,49326.0,53.0,UDP,1,87,0.001,1000.0,87000.0,87.0,1,1,0,0
10.21.149.251,10.21.149.160,49593.0,53.0,UDP,1,87,0.001,1000.0,87000.0,87.0,1,1,0,0
10.21.149.251,10.21.149.160,63388.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.251,10.21.149.160,55472.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.251,23.193.56.66,62761.0,443.0,TCP,13,4285,1.3587329387664795,9.567737433230993,3153.6734539534464,329.61538461538464,1,1,1,0
10.21.149.160,10.21.149.251,53.0,62057.0,UDP,1,99,0.001,1000.0,99000.0,99.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,51782.0,UDP,1,202,0.001,1000.0,202000.0,202.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,55017.0,UDP,1,101,0.001,1000.0,101000.0,101.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,57346.0,UDP,1,92,0.001,1000.0,92000.0,92.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,49326.0,UDP,1,185,0.001,1000.0,185000.0,185.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,49593.0,UDP,1,152,0.001,1000.0,152000.0,152.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,55472.0,UDP,1,230,0.001,1000.0,230000.0,230.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,63388.0,UDP,1,241,0.001,1000.0,241000.0,241.0,1,1,0,0
10.21.149.251,142.251.150.119,50458.0,443.0,TCP,13,4531,0.46877074241638184,27.732106174094064,9665.705621140016,348.53846153846155,1,1,1,0
10.21.149.251,142.251.43.35,62072.0,443.0,TCP,16,5352,0.5416109561920166,29.541499884887006,9881.631711494703,334.5,1,1,1,0
10.21.149.251,150.171.28.12,60545.0,443.0,TCP,7,3862,0.52681565284729,13.287380437857102,7330.837607286304,551.7142857142857,1,1,1,0
10.21.149.251,184.84.232.72,51768.0,443.0,UDP,9,5795,0.5401206016540527,16.66294522452691,10729.08528623705,643.8888888888889,1,1,0,0
74.179.65.112,10.21.149.251,443.0,59587.0,TCP,15,9583,0.9013166427612305,16.64232001091949,10632.223510976099,638.8666666666667,1,1,1,0
